date,country,location,number,description,line
02/02/2015,Syria,Kobani,9,"airstrikes struck three large ISIL tactical units, five ISIL tactical units and destroyed six ISIL staging areas and an ISIL vehicle.","- Near Kobani, nine airstrikes struck three large ISIL tactical units, five ISIL tactical units and destroyed six ISIL staging areas and an ISIL vehicle."
02/02/2015,Syria,Dayr as Zawr,1,airstrike struck an ISIL checkpoint.,"- Near Dayr as Zawr, an airstrike struck an ISIL checkpoint."
02/02/2015,Iraq,Al Asad,1,airstrike struck an ISIL tactical unit and destroyed an ISIL mortar position and one ISIL fighting position.,"- Near Al Asad, an airstrike struck an ISIL tactical unit and destroyed an ISIL mortar position and one ISIL fighting position."
02/02/2015,Iraq,Huwayjah,1,airstrike struck an ISIL tactical unit and destroyed an ISIL fighting position.,"- Near Huwayjah, an airstrike struck an ISIL tactical unit and destroyed an ISIL fighting position."
02/02/2015,Iraq,Al Rutbah,1,airstrike struck an ISIL tactical unit.,"- Near Al Rutbah, an airstrike struck an ISIL tactical unit."
02/02/2015,Iraq,Kirkuk,3,"airstrikes struck two ISIL tactical units and destroyed two ISIL fighting positions, an ISIL vehicle, an ISIL tactical vehicle, one ISIL bunker, and three ISIL earth movers.","- Near Kirkuk, three airstrikes struck two ISIL tactical units and destroyed two ISIL fighting positions, an ISIL vehicle, an ISIL tactical vehicle, one ISIL bunker, and three ISIL earth movers."
02/02/2015,Iraq,Bayji,1,airstrike struck an ISIL tactical unit.,"- Near Bayji, an airstrike struck an ISIL tactical unit."
02/02/2015,Iraq,Sinjar,1,airstrike struck an ISIL tactical unit and destroyed an ISIL building.,"- Near Sinjar, an airstrike struck an ISIL tactical unit and destroyed an ISIL building."
02/02/2015,Iraq,Tal Afar,1,airstrike destroyed an ISIL weapons storage facility.,"- Near Tal Afar, an airstrike destroyed an ISIL weapons storage facility."
02/02/2015,Iraq,Fallujah,4,"airstrikes struck an ISIL tactical unit, one ISIL vehicle and destroyed eight ISIL vehicles.","- Near Fallujah, four airstrikes struck an ISIL tactical unit, one ISIL vehicle and destroyed eight ISIL vehicles."
02/02/2015,Iraq,Haditha,2,airstrikes destroyed an ISIL fighting position and one ISIL vehicle.,"- Near Haditha, two airstrikes destroyed an ISIL fighting position and one ISIL vehicle."
02/02/2015,Iraq,Mosul,2,airstrikes destroyed an ISIL fighting position and an ISIL vehicle.,"- Near Mosul, two airstrikes destroyed an ISIL fighting position and an ISIL vehicle."
02/01/2015,Syria,Kobani,7,airstrikes struck an ISIL staging area and four ISIL tactical units and destroyed five ISIL fighting positions.,"- Near Kobani, seven airstrikes struck an ISIL staging area and four ISIL tactical units and destroyed five ISIL fighting positions."
02/01/2015,Syria,Ar Raqqah,1,airstrike struck an ISIL tactical unit.,"- Near Ar Raqqah, an airstrike struck an ISIL tactical unit."
02/01/2015,Iraq,Al Asad,1,airstrike struck an ISIL tactical unit.,"- Near Al Asad, an airstrike struck an ISIL tactical unit."
02/01/2015,Iraq,Al Qaim,1,airstrike destroyed an ISIL staging area.,"- Near Al Qaim, an airstrike destroyed an ISIL staging area."
02/01/2015,Iraq,Hit,1,airstrike struck an ISIL tactical unit.,"- Near Hit, an airstrike struck an ISIL tactical unit."
02/01/2015,Iraq,Kirkuk,19,"airstrikes struck four large ISIL units and 11 ISIL tactical units and destroyed eight ISIL fighting positions, an ISIL staging position, eight ISIL vehicles, two ISIL armored vehicles, an ISIL building, and an ISIL tank.","- Near Kirkuk, 19 airstrikes struck four large ISIL units and 11 ISIL tactical units and destroyed eight ISIL fighting positions, an ISIL staging position, eight ISIL vehicles, two ISIL armored vehicles, an ISIL building, and an ISIL tank."
02/01/2015,Iraq,Mahkmur,1,airstrike struck an ISIL tactical unit.,"- Near Mahkmur, an airstrike struck an ISIL tactical unit."
02/01/2015,Iraq,Sinjar,2,"airstrikes struck an ISIL tactical unit and destroyed two ISIL buildings, an ISIL heavy weapon, an ISIL shipping container, and an ISIL modular structure.","- Near Sinjar, two airstrikes struck an ISIL tactical unit and destroyed two ISIL buildings, an ISIL heavy weapon, an ISIL shipping container, and an ISIL modular structure."
02/01/2015,Iraq,Tal Afar,1,airstrike destroyed an ISIL fighting position.,"- Near Tal Afar, an airstrike destroyed an ISIL fighting position."
01/30/2015,Syria,Kobani,2,airstrikes struck two ISIL staging positions and destroyed two ISIL fighting positions and one ISIL vehicle.,"- Near Kobani, two airstrikes struck two ISIL staging positions and destroyed two ISIL fighting positions and one ISIL vehicle."
