date,country,location,number,description,line
01/24/2015,Iraq,Ramadi,1,airstrike destroyed an ISIL vehicle.,"- Near Ramadi, an airstrike destroyed an ISIL vehicle."
01/24/2015,Iraq,Tal Afar,5,"airstrikes struck a large ISIL unit, two ISIL tactical units, an ISIL cantonment area, and an ISIL vehicle, and destroyed an ISIL building, six ISIL vehicles, an ISIL bunker, two ISIL shipping containers, and two ISIL checkpoints.","- Near Tal Afar, five airstrikes struck a large ISIL unit, two ISIL tactical units, an ISIL cantonment area, and an ISIL vehicle, and destroyed an ISIL building, six ISIL vehicles, an ISIL bunker, two ISIL shipping containers, and two ISIL checkpoints."
01/24/2015,Iraq,Erbil,1,"airstrike destroyed an ISIL shipping container, two ISIL vehicles, and three ISIL earth moving vehicles.","- Near Erbil, an airstrike destroyed an ISIL shipping container, two ISIL vehicles, and three ISIL earth moving vehicles."
01/23/2015,Syria,Kobani,10,airstrikes struck six ISIL tactical units and a large ISIL unit and destroyed 12 ISIL fighting positions and an ISIL vehicle.,"- Near Kobani, 10 airstrikes struck six ISIL tactical units and a large ISIL unit and destroyed 12 ISIL fighting positions and an ISIL vehicle."
01/23/2015,Syria,Ar Raqqah,1,airstrike destroyed an ISIL trailer.,"- Near Ar Raqqah, an airstrike destroyed an ISIL trailer."
01/23/2015,Syria,Al Hasakah,1,airstrike destroyed an ISIL mobile oil drilling rig.,"- Near Al Hasakah, an airstrike destroyed an ISIL mobile oil drilling rig."
01/23/2015,Iraq,Al Asad,3,"airstrikes struck two ISIL tactical units, a large ISIL unit, and an ISIL vehicle, and destroyed an ISIL IED and two ISIL vehicles.","- Near Al Asad*, three airstrikes struck two ISIL tactical units, a large ISIL unit, and an ISIL vehicle, and destroyed an ISIL IED and two ISIL vehicles."
01/23/2015,Iraq,Mosul,8,"airstrikes struck three ISIL tactical units and a large ISIL unit and destroyed seven ISIL vehicles, two ISIL VBIEDs, an ISIL bulldozer, four ISIL buildings, an ISIL artillery system, an ISIL heavy weapon system, two ISIL armored vehicles, an ISIL shipping container, and an ISIL bunker.","- Near Mosul, eight airstrikes struck three ISIL tactical units and a large ISIL unit and destroyed seven ISIL vehicles, two ISIL VBIEDs, an ISIL bulldozer, four ISIL buildings, an ISIL artillery system, an ISIL heavy weapon system, two ISIL armored vehicles, an ISIL shipping container, and an ISIL bunker."
01/23/2015,Iraq,Sinjar,1,airstrike destroyed an ISIL building.,"- Near Sinjar, an airstrike destroyed an ISIL building."
01/23/2015,Iraq,Tal Afar,1,airstrike struck a large ISIL unit and destroyed an ISIL building and an ISIL vehicle.,"- Near Tal Afar, an airstrike struck a large ISIL unit and destroyed an ISIL building and an ISIL vehicle."
01/22/2015,Syria,Kobani,9,airstrikes struck six ISIL tactical units and destroyed 17 ISIL fighting positions and an ISIL vehicle.,"- Near Kobani, nine airstrikes struck six ISIL tactical units and destroyed 17 ISIL fighting positions and an ISIL vehicle."
01/22/2015,Syria,Ar Raqqah,1,airstrike destroyed an ISIL weapons storage facility.,"- Near Ar Raqqah, an airstrike destroyed an ISIL weapons storage facility."
01/22/2015,Iraq,Kirkuk,1,airstrike struck an ISIL tactical unit and destroyed an ISIL vehicle.,"- Near Kirkuk, an airstrike struck an ISIL tactical unit and destroyed an ISIL vehicle."
01/22/2015,Iraq,Mosul,16,"airstrikes struck two large ISIL units, two ISIL tactical units, an ISIL building, and an ISIL mortar team, and destroyed six ISIL culverts, two ISIL bridges, three ISIL buildings, an ISIL artillery system, 11 ISIL vehicles, an ISIL fighting position, six ISIL staging positions, two ISIL heavy weapons, an ISIL VBIED, and four ISIL armored vehicles.","- Near Mosul, 16 airstrikes struck two large ISIL units, two ISIL tactical units, an ISIL building, and an ISIL mortar team, and destroyed six ISIL culverts, two ISIL bridges, three ISIL buildings, an ISIL artillery system, 11 ISIL vehicles, an ISIL fighting position, six ISIL staging positions, two ISIL heavy weapons, an ISIL VBIED, and four ISIL armored vehicles."
01/22/2015,Iraq,Sinjar,2,"airstrikes struck a large ISIL unit and an ISIL tactical unit and destroyed an ISIL mortar position, an ISIL fighting position, and an ISIL armored vehicle.","- Near Sinjar, two airstrikes struck a large ISIL unit and an ISIL tactical unit and destroyed an ISIL mortar position, an ISIL fighting position, and an ISIL armored vehicle."
01/22/2015,Iraq,Tal Afar,2,airstrikes struck two ISIL tactical units and destroyed an ISIL VBIED.,"- Near Tal Afar, two airstrikes struck two ISIL tactical units and destroyed an ISIL VBIED."
01/21/2015,Syria,Kobani,10,"airstrikes struck seven ISIL tactical units and a large ISIL unit and destroyed eight ISIL staging positions, 13 ISIL fighting positions, and two ISIL vehicles.","- Near Kobani, 10 airstrikes struck seven ISIL tactical units and a large ISIL unit and destroyed eight ISIL staging positions, 13 ISIL fighting positions, and two ISIL vehicles."
01/21/2015,Syria,Abu Kamal,1,airstrike destroyed an ISIL bunker.,"- Near Abu Kamal, an airstrike destroyed an ISIL bunker."
01/21/2015,Syria,Ar Raqqah,2,airstrikes struck an ISIL tactical unit and an ISIL weapon cache and destroyed an ISIL guard facility.,"- Near Ar Raqqah, two airstrikes struck an ISIL tactical unit and an ISIL weapon cache and destroyed an ISIL guard facility."
01/21/2015,Iraq,Tal Afar,3,"airstrikes struck a large ISIL unit and two ISIL logistic routes and destroyed an ISIL armored vehicle, two ISIL vehicles, five ISIL buildings, an ISIL shipping container, three ISIL heavy weapons, an ISIL bridge, five ISIL road crossings, and an ISIL IED.","- Near Tal Afar, three airstrikes struck a large ISIL unit and two ISIL logistic routes and destroyed an ISIL armored vehicle, two ISIL vehicles, five ISIL buildings, an ISIL shipping container, three ISIL heavy weapons, an ISIL bridge, five ISIL road crossings, and an ISIL IED."
01/21/2015,Iraq,Al Qaim,1,airstrike destroyed two ISIL bunkers and a buried ISIL structure.,"- Near Al Qaim, an airstrike destroyed two ISIL bunkers and a buried ISIL structure."
01/21/2015,Iraq,Al Asad,1,airstrike struck an ISIL tactical unit and destroyed an ISIL building.,"- Near Al Asad, an airstrike struck an ISIL tactical unit and destroyed an ISIL building."
01/21/2015,Iraq,Bayji,1,airstrike destroyed two ISIL buildings.,"- Near Bayji, an airstrike destroyed two ISIL buildings."
01/21/2015,Iraq,Ramadi,1,airstrike struck an ISIL tactical unit and destroyed two ISIL buildings.,"- Near Ramadi, an airstrike struck an ISIL tactical unit and destroyed two ISIL buildings."
01/21/2015,Iraq,Mosul,3,"airstrikes struck three ISIL tactical units and an ISIL checkpoint and destroyed an ISIL building, an ISIL heavy weapon, and two ISIL vehicles.","- Near Mosul, three airstrikes struck three ISIL tactical units and an ISIL checkpoint and destroyed an ISIL building, an ISIL heavy weapon, and two ISIL vehicles."
01/20/2015,Syria,Kobani,9,"airstrikes struck seven ISIL tactical units and destroyed four ISIL staging positions, five ISIL fighting positions, four ISIL vehicles, and an ISIL mortar system.","- Near Kobani, nine airstrikes struck seven ISIL tactical units and destroyed four ISIL staging positions, five ISIL fighting positions, four ISIL vehicles, and an ISIL mortar system."
